İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,DEM,YRP,ZP
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,29 Mart,BETİMAR,3.06,612.0,289.0,14.0,39.0,24.0,14.0,8,323
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,27-29 Mart,Özdemir,2.5,586.0,339.0,,32.0,,,43,247
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,2.1,432.0,361.0,43.0,4.0,27.0,1.0,24,71
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-27 Mart,TÜSİAR,2.462,451.0,372.0,41.0,37.0,25.0,33.0,42,78
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-27 Mart,ORC,3.42,515.0,362.0,39.0,26.0,2.0,21.0,17,153
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-26 Mart,ALF,3.85,554.0,351.0,31.0,,,,64,203
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-26 Mart,ASAL,2.5,544.0,338.0,32.0,24.0,12.0,28.0,22,206
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-26 Mart,AREA,3.009,601.0,305.0,34.0,32.0,14.0,11.0,4,296
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.5,565.0,334.0,23.0,32.0,23.0,,23,231
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,503.0,397.0,,,,,10,106
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-25 Mart,ADAMOR,2.593,551.0,327.0,37.0,26.0,9.0,39.0,11,224
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.608,47.0,429.0,19.0,38.0,2.0,17.0,6,41
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-25 Mart,SAROS,4.047,472.0,391.0,49.0,35.0,,,53,81
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-19 Mart,KODAR,6.321,54.0,39.0,14.0,24.0,,,32,15
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-15 Mart,AREA,4.405,591.0,303.0,42.0,33.0,15.0,12.0,4,288
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-3 Mar,MAK,4.3,44.0,38.0,3.0,4.0,2.0,2.0,30,6
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Şubat,ALF,2.7,414.0,375.0,64.0,23.0,21.0,,41,39
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-14 Şubat,Özdemir,2.5,624.0,302.0,12.0,25.0,14.0,12.0,11,322
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Şubat,HBS,2.18,403.0,352.0,61.0,24.0,25.0,26.0,3,51
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-9 Şubat,AREA,1.546,54.0,401.0,17.0,23.0,12.0,,7,139
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-26 Ocak,ORC,3.8,437.0,409.0,52.0,,,,32,28
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-23 Ocak,AREA,2.006,57.0,401.0,,,,,29,169
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Ocak,HBS,2.1,368.0,343.0,61.0,3.0,29.0,31.0,51,25
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-18 Temmuz,ASAL,2.074,323.0,337.0,81.0,18.0,22.0,49.0,190,14
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023,2023
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,509.0,471.0,,,,,18,38
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,1.05,,,,,,,85,24
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,31.654,,,,,,,38,4
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,2.674,,,56.0,25.0,2.0,,51,26
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,332.548,,,,,,,42,18
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,2.5,,,,,,,55,57
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,75.782,,,,,,,42,151
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,850.0,,,,,,,71,94
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,9.486,,,,,,,297,297
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-18 Mart,SAROS,3.428,,,,,38.0,,24,55
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,522.213,,,,,,,56,328
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,1.45,,,,,,,73,33
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,288.268,,,,,,,63,415
