İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,DEM,Kararsız,YRP
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Mart,AREA,2.005,60.0,351.0,1.0,7.0,6.0,27,,249
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.5,467.0,427.0,48.0,,,58,,4
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,521.0,381.0,,,,98,,14
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.101,481.0,39.0,56.0,,13.0,6,,89
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-23 Mart,SAROS,1.492,489.0,381.0,57.0,,,73,,108
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,5-10 Mart,AREA,3.054,596.0,353.0,26.0,7.0,6.0,2,,243
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,3-7 Mart,ASAL,1.5,429.0,397.0,55.0,17.0,22.0,8,,32
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-5 Mart,MAK,1.38,41.0,36.0,6.0,3.0,2.0,50,5.0,5
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,45.0,409.0,,,,134,,41
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.21,,,62.0,,,45,,145
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,76.832,,,157.0,,,31,,66
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.65,,,70.0,,,80,,58
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,164.375,,,166.0,,,41,,39
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.52,538.0,,75.0,,,115,,266
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,144.51,635.0,,55.0,,,35,,360
