İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,Kararsız,DEM
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,392.0,416.0,117.0,23.0,52,,24
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,486.0,321.0,,,193,,165
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.901,482.0,341.0,122.0,15.0,4,,141
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-15 Mart,ASAL,1.3,405.0,354.0,135.0,63.0,43,,51
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,427.0,384.0,109.0,,8,,43
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,3.586,389.0,361.0,146.0,,104,,28
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-6 Mart,MAK,1.62,37.0,31.0,16.0,3.0,80,5.0,6
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mart,ORC,1.85,341.0,235.0,226.0,49.0,45,104.0,106
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,603.862,36.0,284.0,,,356,,76
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,29 Şubat-4 Mart,Optimar,2.0,,,8.0,19.0,1,,1
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,99.987,,,345.0,,4,,111
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,830.0,274.0,,306.0,,42,157.0,32
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,94.895,477.0,444.0,61.0,,18,,33
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,750.0,305.0,211.0,322.0,,32,13.0,17
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,54.751,446.0,347.0,197.0,,356,,99
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,1.016,367.0,292.0,131.0,,46,164.0,75
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,68.721,538.0,303.0,75.0,,84,,235
