İl,Anket_Sayısı,Sütun_Sayısı,Parti_Sayısı,Partiler
Tum_Birlesik,609,13,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Hatay,40,15,8,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP, ZP"
Ankara,38,13,8,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP, ZP"
Bursa,32,13,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Antalya,25,13,8,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP, ZP"
Samsun,21,13,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Balıkesir,18,11,5,"AKP, CHP, İYİ, MHP, HDP"
Manisa,18,11,5,"AKP, CHP, İYİ, MHP, HDP"
Muğla,17,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Ordu,17,11,5,"AKP, CHP, İYİ, MHP, HDP"
Adana,16,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Mersin,15,13,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Aydın,11,10,4,"AKP, CHP, İYİ, MHP"
Denizli,10,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Sakarya,9,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Konya,9,10,4,"AKP, CHP, İYİ, MHP"
Eskişehir,9,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Gaziantep,9,10,4,"AKP, CHP, İYİ, MHP"
Trabzon,9,10,4,"AKP, CHP, İYİ, MHP"
Tekirdağ,9,10,4,"AKP, CHP, İYİ, MHP"
Kayseri,7,10,4,"AKP, CHP, İYİ, MHP"
Edirne,7,11,5,"AKP, CHP, İYİ, MHP, HDP"
Kocaeli,7,13,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Şanlıurfa,7,10,4,"AKP, CHP, İYİ, MHP"
Kahramanmaraş,7,12,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Diyarbakır,6,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Uşak,6,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Erzurum,6,10,4,"AKP, CHP, İYİ, MHP"
Malatya,6,10,4,"AKP, CHP, İYİ, MHP"
Mardin,5,10,4,"AKP, CHP, İYİ, MHP"
Van,5,9,4,"AKP, CHP, İYİ, MHP"
Niğde,5,12,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Isparta,5,13,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Çanakkale,5,11,5,"AKP, CHP, İYİ, MHP, HDP"
İstanbul,4,11,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Kars,4,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Nevşehir,4,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Çankırı,3,13,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
İzmir,3,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Giresun,3,11,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Bolu,3,12,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Elazığ,3,13,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Sinop,3,11,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Kırıkkale,3,12,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Sivas,3,12,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Burdur,2,10,5,"AKP, CHP, İYİ, MHP, HDP"
Düzce,2,12,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Bilecik,2,12,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Kırklareli,2,11,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Tokat,2,12,7,"AKP, CHP, İYİ, MHP, HDP, DEM, YRP"
Zonguldak,2,11,6,"AKP, CHP, İYİ, MHP, HDP, DEM"
Yalova,2,10,5,"AKP, CHP, İYİ, MHP, HDP"
