Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,ZP Unnamed: 6_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Mart,BETİMAR,4.080,473,381,43,39,64,—,92
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,1.710,436,389,89,35,51,—,47
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,431,405,—,—,164,—,26
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.686,429,401,78,3,63,—,28
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,419,443,54,42,42,—,24
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-14 Mart,ASAL,1.640,425,406,59,48,62,—,19
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-5 Mart,MAK,1.380,42,43,3,1,50,5,1
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-12 Ocak,Ank-ar,2.674,368,393,169,28,42,—,25
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,546.269,523,451,—,—,26,—,72
