Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,DSP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,CHP Unnamed: 6_level_1,DEM Unnamed: 7_level_1,YRP Unnamed: 8_level_1,ZP Unnamed: 9_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,CHP Unnamed: 4_level_1,DEM Unnamed: 6_level_1,YRP Unnamed: 7_level_1,ZP Unnamed: 8_level_1
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,48,—,—,278,—,—,—,242,—,202,,,,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.377,495,—,34,232,77,106,3,26,—,263,,,,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-21 Mart,ASAL,1.500,532,—,36,224,6,86,34,28,—,308,,,,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,563,—,—,212,55,10,—,7,—,351,,,,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-5 Mar,MAK,1.360,52,—,5,20,8,3,3,4,5,32,,,,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-27 Ocak,ORC,1.960,509,—,43,211,62,25,—,28,122,298,,,,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,,,,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,917.080,539,262,164,—,—,—,—,35,—,277,,,,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Mart,ORC,1.62,326,,37,,,,,55,—,31,357.0,45,155,25
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024,,2024,,,,,2024,2024,2024,2024.0,2024,2024,2024
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,334.364,536,,109,,,,,35,—,277,281.0,—,—,—
