Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,MHP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,CHP Unnamed: 5_level_1,GP Unnamed: 6_level_1,YRP Unnamed: 7_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,AKP Unnamed: 3_level_1,ZP Unnamed: 6_level_1,CHP Unnamed: 3_level_1,MHP Unnamed: 4_level_1,BBP Unnamed: 5_level_1,YRP Unnamed: 6_level_1,İYİ Unnamed: 7_level_1,DEM Unnamed: 8_level_1,ZP Unnamed: 9_level_1
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.500,442.0,63,428,—,—,67,—,14,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,421.0,—,417,—,—,162,—,4,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.346,425.0,63,448,—,17,47,—,23,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-16 Mart,Aksoy,2.400,391.0,34,518,05,21,31,—,127,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-23 Mart,ALF,2.700,382.0,65,467,—,32,54,—,85,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-20 Mart,ORC,3.500,377.0,48,422,—,29,44,8,45,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,5-8 Mart,ASAL,1.500,426.0,88,372,—,43,71,—,54,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mart,MAK,2.220,41.0,4,28,18,2,3,4,130,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Şubat,SONAR,7.597,482.0,79,351,—,39,49,—,131,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024.0,2024,2024,2024,2024,2024,2024,2024,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,873.021,527.0,38,—,—,—,93,—,147,,,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ALF,1.4,,367,221,,,23,—,19,348.0,41,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.45,,333,242,,,35,75,18,315.0,—,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,2024,2024,,,2024,2024,2024,2024.0,2024,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,98.775,,441,—,,,97,—,21,462.0,—,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-8 Mart,SONAR,1.327,,,,,,42,,2,,,273.0,275.0,—,228,91,76,15
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,,2024,,2024,,,2024.0,2024.0,2024,2024,2024,2024,2024
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,99.227,,,,,,29,,14,,,372.0,368.0,231,—,—,—,—
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ALF,1.4,,376,242,,,16,—,45,331.0,35,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.5,,347,262,,,28,62,46,301.0,—,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,2024,2024,,,2024,2024,2024,2024.0,2024,,,,,,,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,135.063,,4283,—,,,1432,—,2,4285.0,—,,,,,,,
