Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,CHP Unnamed: 3_level_1,MHP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,DEM Unnamed: 6_level_1,YRP Unnamed: 7_level_1,ZP Unnamed: 8_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,MHP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,AKP Unnamed: 4_level_1
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-27 Mart,AREA,2.005,60.0,351.0,1,—,07,06,27,—,249,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.500,467.0,427.0,48,—,—,—,58,—,4,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,521.0,381.0,—,—,—,—,98,—,14,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.101,481.0,39.0,56,—,—,13,6,—,89,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-23 Mart,SAROS,1.492,489.0,381.0,57,—,—,—,73,—,108,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,5-10 Mart,AREA,3.054,596.0,353.0,26,1,07,06,2,—,243,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,3-7 Mart,ASAL,1.500,429.0,397.0,55,—,17,22,8,—,32,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-5 Mart,MAK,1.380,41.0,36.0,6,3,3,2,50,5,5,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024.0,2024.0,2024,2024,2024,2024,2024,2024,2024,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,1.057.902,45.0,409.0,—,—,—,—,134,—,41,,,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.21,,,62,,,,45,,145,519.0,374.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,2024,,,,2024,,2024,2024.0,2024.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,76.832,,,157,,,,31,,66,439.0,373.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.65,,,70,,,,80,,58,454.0,396.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,2024,,,,2024,,2024,2024.0,2024.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,164.375,,,166,,,,41,,39,416.0,377.0,
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-20 Mart,ORC,1.52,538.0,,75,,,,115,,266,,,272.0
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024.0,,2024,,,,2024,,2024,,,2024.0
Mersin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,144.51,635.0,,55,,,,35,,360,,,275.0
