Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,DEM Unnamed: 6_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,AKP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,TİP Unnamed: 7_level_1,MHP Unnamed: 6_level_1,Unnamed: 10_level_0 Unnamed: 10_level_1,Unnamed: 11_level_0 Unnamed: 11_level_1,Unnamed: 12_level_0 Unnamed: 12_level_1,Unnamed: 13_level_0 Unnamed: 13_level_1,Unnamed: 14_level_0 Unnamed: 14_level_1,Unnamed: 9_level_0 Unnamed: 9_level_1
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,?,392.0,416,117,23,52,—,24,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,486.0,321,—,—,193,—,165,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.901,482.0,341,122,15,4,—,141,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-15 Mart,ASAL,1.300,405.0,354,135,63,43,—,51,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,427.0,384,109,—,8,—,43,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,3.586,389.0,361,146,—,104,—,28,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-6 Mart,MAK,1.620,37.0,31,16,3,80,5,6,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mart,ORC,1.850,341.0,235,226,49,45,104,106,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024.0,2024,2024,2024,2024,2024,2024,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,603.862,36.0,284,—,—,356,—,76,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,29 Şubat-4 Mart,Optimar,2.0,,,8,19,1,,1,481.0,471.0,1,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,2024,2024,2024,,2024,2024.0,2024.0,2024,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,99.987,,,345,—,4,,111,159.0,456.0,—,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,830.0,274.0,—,306,,42,157,32,,,,221,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024.0,2024,2024,,2024,2024,2024,,,,2024,2024.0,2024.0,2024.0,2024.0,2024.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,94.895,477.0,444,61,,18,—,33,,,,—,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,750.0,305.0,211,322,,32,13,17,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024.0,2024,2024,,2024,2024,2024,,,,,2024.0,2024.0,2024.0,2024.0,,2024.0
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,54.751,446.0,347,197,,356,—,99,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,1.016,367.0,292,131,,46,164,75,,,,,,,,,,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,2024.0,2024,2024,,2024,2024,2024,,,,,2024.0,2024.0,2024.0,2024.0,,2024.0
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,68.721,538.0,303,75,,84,—,235,,,,,,,,,,
