Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,DEM Unnamed: 6_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,AKP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,YRP Unnamed: 5_level_1,İYİ Unnamed: 6_level_1
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,?,47.0,365.0,—,—,165,—,105,,,,
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.728,44.0,431.0,48,23,58,—,9,,,,
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.500,454.0,359.0,—,57,13,—,95,,,,
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,3-7 Mart,ASAL,1.600,435.0,364.0,65,42,94,—,71,,,,
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-6 Mar,MAK,1.700,44.0,37.0,3,2,8,5,7,,,,
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-21 Ocak,NOKTA,9.836,341.0,286.0,103,59,199,12,55,,,,
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024.0,2024.0,2024,2024,2024,2024,2024,,,,
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,621.778,512.0,438.0,—,—,5,—,74,,,,
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-9 Mart,BETİMAR,2.751,,,,,5,,55,46.0,248.0,176,66
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024.0,,,,,2024,,2024,2024.0,2024.0,2024,2024
Tekirdağ,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,65.888,,,,,5,,128,539.0,411.0,—,—
